2018-03-23 18:16:57 time: 0:04:56.134434 files compared: 9299, t<72h: 9198, t>72h: 100, updated: 100, errors:0
2018-03-23 18:48:27 time: 0:00:24.428651 files compared: 9497, t<72h: 9489, t>72h: 8, updated: 8, errors:0
2018-03-23 19:12:13 time: 0:00:10.675304 files compared: 9497, t<72h: 9494, t>72h: 3, updated: 3, errors:0
2018-03-23 19:48:46 time: 0:00:44.426165 files compared: 9497, t<72h: 9484, t>72h: 13, updated: 13, errors:0
2018-03-23 20:16:49 time: 0:04:47.199011 files compared: 9497, t<72h: 9399, t>72h: 98, updated: 98, errors:0
2018-03-23 20:48:27 time: 0:00:25.268133 files compared: 9498, t<72h: 9489, t>72h: 9, updated: 9, errors:0
2018-03-23 21:12:44 time: 0:00:42.911508 files compared: 9498, t<72h: 9483, t>72h: 15, updated: 15, errors:0
2018-03-23 21:53:01 time: 0:04:59.509292 files compared: 409, t<72h: 308, t>72h: 100, updated: 100, errors:0
2018-03-23 22:15:16 time: 0:03:13.953566 files compared: 9498, t<72h: 9435, t>72h: 63, updated: 63, errors:0
2018-03-23 22:52:16 time: 0:04:14.878763 files compared: 9498, t<72h: 9404, t>72h: 94, updated: 94, errors:0
2018-03-23 23:12:16 time: 0:00:14.455129 files compared: 9498, t<72h: 9493, t>72h: 5, updated: 5, errors:0
2018-03-23 23:48:36 time: 0:00:34.211404 files compared: 9498, t<72h: 9487, t>72h: 11, updated: 11, errors:0
2018-03-24 00:12:28 time: 0:00:26.534324 files compared: 9498, t<72h: 9489, t>72h: 9, updated: 9, errors:0
2018-03-24 00:52:40 time: 0:04:38.163729 files compared: 694, t<72h: 593, t>72h: 100, updated: 100, errors:0
2018-03-24 01:16:47 time: 0:04:45.370566 files compared: 886, t<72h: 785, t>72h: 100, updated: 100, errors:0
2018-03-24 01:52:41 time: 0:04:38.671770 files compared: 1083, t<72h: 982, t>72h: 100, updated: 100, errors:0
2018-03-24 02:17:01 time: 0:04:59.226189 files compared: 1262, t<72h: 1161, t>72h: 100, updated: 100, errors:0
2018-03-24 02:52:48 time: 0:04:45.846440 files compared: 1428, t<72h: 1327, t>72h: 100, updated: 100, errors:0
2018-03-24 03:17:16 time: 0:05:13.530156 files compared: 1616, t<72h: 1515, t>72h: 100, updated: 100, errors:0
2018-03-24 03:52:49 time: 0:04:47.451225 files compared: 1820, t<72h: 1719, t>72h: 100, updated: 100, errors:0
2018-03-24 04:18:30 time: 0:06:28.051335 files compared: 2017, t<72h: 1916, t>72h: 100, updated: 100, errors:0
2018-03-24 04:52:48 time: 0:04:46.632857 files compared: 2217, t<72h: 2116, t>72h: 100, updated: 100, errors:0
2018-03-24 05:16:50 time: 0:04:48.450149 files compared: 2425, t<72h: 2324, t>72h: 100, updated: 100, errors:0
2018-03-24 05:52:49 time: 0:04:47.723564 files compared: 2638, t<72h: 2537, t>72h: 100, updated: 100, errors:0
2018-03-24 06:16:48 time: 0:04:46.329189 files compared: 2849, t<72h: 2748, t>72h: 100, updated: 100, errors:0
2018-03-24 06:52:43 time: 0:04:41.332719 files compared: 3049, t<72h: 2948, t>72h: 100, updated: 100, errors:0
2018-03-24 07:17:03 time: 0:05:01.277909 files compared: 3193, t<72h: 3092, t>72h: 100, updated: 100, errors:0
2018-03-24 07:51:16 time: 0:03:14.164557 files compared: 9498, t<72h: 9433, t>72h: 65, updated: 65, errors:0
2018-03-24 08:17:17 time: 0:05:16.236654 files compared: 3375, t<72h: 3274, t>72h: 100, updated: 100, errors:0
2018-03-24 08:53:00 time: 0:04:58.612587 files compared: 3500, t<72h: 3399, t>72h: 100, updated: 100, errors:0
2018-03-24 09:17:14 time: 0:05:13.166398 files compared: 3620, t<72h: 3519, t>72h: 100, updated: 100, errors:0
2018-03-24 09:52:52 time: 0:04:50.674792 files compared: 3735, t<72h: 3634, t>72h: 100, updated: 100, errors:0
2018-03-24 10:17:10 time: 0:05:07.950588 files compared: 3848, t<72h: 3747, t>72h: 100, updated: 100, errors:0
2018-03-24 10:53:02 time: 0:04:59.688363 files compared: 4000, t<72h: 3899, t>72h: 100, updated: 100, errors:0
2018-03-24 11:17:02 time: 0:04:59.617212 files compared: 4186, t<72h: 4085, t>72h: 100, updated: 100, errors:0
2018-03-24 11:53:07 time: 0:05:05.077715 files compared: 4369, t<72h: 4268, t>72h: 100, updated: 100, errors:0
2018-03-24 12:17:16 time: 0:05:14.600613 files compared: 4558, t<72h: 4457, t>72h: 100, updated: 100, errors:0
2018-03-24 12:52:10 time: 0:04:07.874932 files compared: 9500, t<72h: 9419, t>72h: 81, updated: 81, errors:0
2018-03-24 13:16:59 time: 0:04:58.048236 files compared: 4862, t<72h: 4761, t>72h: 100, updated: 100, errors:0
2018-03-24 13:53:03 time: 0:05:01.947385 files compared: 5037, t<72h: 4936, t>72h: 100, updated: 100, errors:0
2018-03-24 14:17:07 time: 0:05:05.135800 files compared: 5220, t<72h: 5119, t>72h: 100, updated: 100, errors:0
2018-03-24 14:53:01 time: 0:04:58.819887 files compared: 5368, t<72h: 5267, t>72h: 100, updated: 100, errors:0
2018-03-24 15:16:06 time: 0:04:03.998880 files compared: 9500, t<72h: 9415, t>72h: 85, updated: 85, errors:0
2018-03-24 15:53:00 time: 0:04:58.840836 files compared: 5657, t<72h: 5556, t>72h: 100, updated: 100, errors:0
2018-03-24 16:17:26 time: 0:05:23.602340 files compared: 5820, t<72h: 5719, t>72h: 100, updated: 100, errors:0
2018-03-24 16:53:02 time: 0:04:59.685832 files compared: 5980, t<72h: 5879, t>72h: 100, updated: 100, errors:0
2018-03-24 17:17:16 time: 0:05:13.851758 files compared: 6171, t<72h: 6070, t>72h: 100, updated: 100, errors:0
2018-03-24 17:48:54 time: 0:00:51.984126 files compared: 9500, t<72h: 9482, t>72h: 18, updated: 18, errors:0
2018-03-24 18:17:02 time: 0:05:00.538824 files compared: 6346, t<72h: 6245, t>72h: 100, updated: 100, errors:0
2018-03-24 18:53:09 time: 0:05:07.457676 files compared: 6524, t<72h: 6423, t>72h: 100, updated: 100, errors:0
2018-03-24 19:16:49 time: 0:04:48.114175 files compared: 6699, t<72h: 6598, t>72h: 100, updated: 100, errors:0
2018-03-24 19:52:57 time: 0:04:55.969718 files compared: 6834, t<72h: 6733, t>72h: 100, updated: 100, errors:0
2018-03-24 20:16:54 time: 0:04:53.294901 files compared: 6989, t<72h: 6888, t>72h: 100, updated: 100, errors:0
2018-03-24 20:53:07 time: 0:05:05.031279 files compared: 7184, t<72h: 7083, t>72h: 100, updated: 100, errors:0
2018-03-24 21:16:53 time: 0:04:51.327785 files compared: 7365, t<72h: 7264, t>72h: 100, updated: 100, errors:0
2018-03-24 21:53:11 time: 0:05:09.533258 files compared: 7555, t<72h: 7454, t>72h: 100, updated: 100, errors:0
2018-03-24 22:17:29 time: 0:05:27.014453 files compared: 7716, t<72h: 7615, t>72h: 100, updated: 100, errors:0
2018-03-24 22:52:49 time: 0:04:46.858926 files compared: 7889, t<72h: 7788, t>72h: 100, updated: 100, errors:0
2018-03-24 23:16:52 time: 0:04:50.919227 files compared: 8042, t<72h: 7941, t>72h: 100, updated: 100, errors:0
2018-03-24 23:52:43 time: 0:04:41.361944 files compared: 8221, t<72h: 8120, t>72h: 100, updated: 100, errors:0
2018-03-25 00:16:52 time: 0:04:51.245193 files compared: 9194, t<72h: 9093, t>72h: 100, updated: 100, errors:0
2018-03-25 00:53:06 time: 0:05:04.989211 files compared: 8559, t<72h: 8458, t>72h: 100, updated: 100, errors:0
2018-03-25 01:16:08 time: 0:04:05.938872 files compared: 9500, t<72h: 9413, t>72h: 87, updated: 87, errors:0
2018-03-25 01:51:44 time: 0:03:41.739240 files compared: 9500, t<72h: 9424, t>72h: 76, updated: 76, errors:0
2018-03-25 02:17:03 time: 0:05:01.521590 files compared: 9041, t<72h: 8940, t>72h: 100, updated: 100, errors:0
2018-03-25 02:49:24 time: 0:01:22.447965 files compared: 9500, t<72h: 9474, t>72h: 26, updated: 26, errors:0
2018-03-25 03:17:06 time: 0:05:05.310248 files compared: 9276, t<72h: 9175, t>72h: 100, updated: 100, errors:0
2018-03-25 03:53:19 time: 0:05:16.997421 files compared: 9490, t<72h: 9389, t>72h: 100, updated: 100, errors:0
2018-03-25 04:12:37 time: 0:00:34.465588 files compared: 9500, t<72h: 9492, t>72h: 8, updated: 8, errors:0
2018-03-25 04:48:05 time: 0:00:02.839373 files compared: 9500, t<72h: 9499, t>72h: 1, updated: 1, errors:0
2018-03-25 05:12:14 time: 0:00:11.841827 files compared: 9500, t<72h: 9496, t>72h: 4, updated: 4, errors:0
2018-03-25 05:48:08 time: 0:00:06.696092 files compared: 9500, t<72h: 9498, t>72h: 2, updated: 2, errors:0
2018-03-25 06:12:08 time: 0:00:05.773931 files compared: 9500, t<72h: 9498, t>72h: 2, updated: 2, errors:0
2018-03-25 06:48:21 time: 0:00:19.190830 files compared: 9500, t<72h: 9493, t>72h: 7, updated: 7, errors:0
2018-03-25 07:12:02 time: 0:00:00.185473 files compared: 9500, t<72h: 9500, t>72h: 0, updated: 0, errors:0
2018-03-25 07:48:11 time: 0:00:08.946279 files compared: 9500, t<72h: 9497, t>72h: 3, updated: 3, errors:0
2018-03-25 08:12:07 time: 0:00:05.736170 files compared: 9500, t<72h: 9498, t>72h: 2, updated: 2, errors:0
2018-03-25 08:48:37 time: 0:00:34.918206 files compared: 9500, t<72h: 9490, t>72h: 10, updated: 10, errors:0
2018-03-25 09:12:11 time: 0:00:08.936751 files compared: 9501, t<72h: 9498, t>72h: 3, updated: 3, errors:0
2018-03-25 09:48:56 time: 0:00:54.225221 files compared: 9501, t<72h: 9483, t>72h: 18, updated: 18, errors:0
2018-03-25 10:12:04 time: 0:00:03.200519 files compared: 9501, t<72h: 9500, t>72h: 1, updated: 1, errors:0
2018-03-25 10:48:47 time: 0:00:44.571186 files compared: 9501, t<72h: 9486, t>72h: 15, updated: 15, errors:0
2018-03-25 11:12:11 time: 0:00:08.720106 files compared: 9501, t<72h: 9498, t>72h: 3, updated: 3, errors:0
2018-03-25 11:48:27 time: 0:00:25.992631 files compared: 9501, t<72h: 9492, t>72h: 9, updated: 9, errors:0
2018-03-25 12:12:35 time: 0:00:33.617257 files compared: 9501, t<72h: 9490, t>72h: 11, updated: 11, errors:0
2018-03-25 12:48:43 time: 0:00:41.429164 files compared: 9501, t<72h: 9487, t>72h: 14, updated: 14, errors:0
2018-03-25 13:12:12 time: 0:00:10.789862 files compared: 9502, t<72h: 9498, t>72h: 4, updated: 4, errors:0
2018-03-25 13:49:15 time: 0:01:12.976237 files compared: 9503, t<72h: 9478, t>72h: 25, updated: 25, errors:0
2018-03-25 14:12:31 time: 0:00:29.899166 files compared: 9504, t<72h: 9494, t>72h: 10, updated: 10, errors:0
